dimension_a,dimension_b,cooccurrence_count,city_balanced_joint_probability,ppmi
D049,D223,1380,0.0036671761879075847,1.6943014720242229
D144,D498,836,0.0022298990124842745,1.693059176851249
D143,D191,792,0.0020800455012334406,1.6927920461837642
D055,D305,221,0.0005820603630025086,1.6923063482155571
D179,D344,3000,0.007900923046031811,1.6915978455756444
D132,D508,224,0.0005896139249829422,1.691410583640211
D003,D289,533,0.0014141146848585032,1.6905934013806443
D173,D216,230,0.0006037914601555915,1.6854096899292226
D053,D318,192,0.0005279246535533194,1.682414334918597
D104,D498,362,0.0009563401437324963,1.682206926283672
D157,D197,197,0.0005184800405300092,1.681315909282133
D191,D495,452,0.0011900685586453403,1.6790789024558332
D042,D115,1587,0.0041908555657999245,1.6781291670423568
D149,D364,523,0.0013706626106581065,1.6746360596853247
D056,D221,1083,0.0028469693698653974,1.6745585008848924
D056,D354,195,0.0005157751811921116,1.6682711116190245
D289,D373,737,0.001965070549475023,1.66542706937453
D216,D344,1765,0.004653416685066476,1.6601309688775892
D098,D155,562,0.0014813074898160478,1.6583307326627938
D322,D438,487,0.001280480020230765,1.6582912533167218
D049,D192,473,0.0012544213431502649,1.6580974390596022
D130,D498,194,0.0005139120261378418,1.6580774215407363
D290,D375,432,0.0011426367495577315,1.657950437058652
D236,D237,277,0.0007300643626862267,1.6573519313972236
D056,D455,835,0.002188087180230175,1.6493097980239086
D476,D486,677,0.0017777711439627526,1.6486933790582838
D354,D451,1436,0.0038031410074553405,1.6467066588403103
D308,D325,1446,0.0038818220508757884,1.6460002285278421
D203,D502,376,0.001020336760657271,1.645327954776874
D184,D429,397,0.0010483694865785172,1.6424321151122965
D379,D479,485,0.0012863896367679793,1.6410242441083664
D250,D331,259,0.0006802177289077063,1.640553831835623
D025,D389,279,0.0007569802762339142,1.6362140308185433
D007,D298,192,0.0005102321506407254,1.6357870117838325
D130,D148,702,0.0018591438920576406,1.6337212085531476
D318,D456,1941,0.005233277123434648,1.6334246734443747
D050,D282,308,0.0008284848436307183,1.6331417854246553
D292,D426,837,0.002221913517120146,1.6258867505943657
D386,D389,627,0.0016757726069084617,1.6254846499652384
D124,D344,3009,0.007912838003720146,1.6245679301178066
D223,D373,209,0.0005601350891767905,1.622640440443007
D082,D103,351,0.0009230390549360798,1.6198094704950996
D149,D495,392,0.0010279061617616766,1.6184106346228342
D192,D223,198,0.0005265391748492366,1.6182253351202422
D082,D465,484,0.001292872241623747,1.6164438646139663
D223,D278,1478,0.003953955911517196,1.6156998889806184
D038,D142,202,0.0005312219661564136,1.6149696731302658
D077,D451,382,0.0010040354147255583,1.6147812687120044
D061,D498,477,0.0012612422386163193,1.6131168051274276
D009,D181,658,0.001722209477301407,1.6127780352876637
D354,D498,220,0.0005851143693269869,1.612648414881578
D049,D195,362,0.0009583775923898508,1.6092529155770292
D055,D278,558,0.0014825837568999438,1.6089531926845622
D025,D055,865,0.002312425815831678,1.6075945392482587
D047,D250,216,0.0005694353807294084,1.6071748607126977
D233,D341,679,0.0017863175201533643,1.6056756945543724
D236,D472,243,0.0006405430977114802,1.605592665489179
D315,D354,421,0.0011192544752525722,1.600093842755109
D005,D399,345,0.000909623596139096,1.5989076377704716
D082,D393,570,0.00151359821206357,1.5978761997793383
D177,D303,230,0.0006016749396012463,1.5947657587950914
D084,D143,330,0.0008688271417511153,1.5927581670800417
D144,D281,311,0.0008142680260474414,1.5906000294230587
D265,D341,240,0.000633199780083906,1.5905843343876822
D279,D298,996,0.0026659842389631073,1.5904640305436213
D025,D308,1130,0.003076408923534404,1.5878559156735146
D002,D505,289,0.000773994318839131,1.587563582262691
D155,D315,248,0.0006550649740627309,1.5854540911507267
D274,D278,511,0.001351071343572569,1.5853048814139765
D322,D364,348,0.0009197132362314123,1.5850688565594402
D298,D303,347,0.0009231185989329693,1.5844581638070716
D090,D265,950,0.002506633115175121,1.5839704416937026
