city,relationship,rank,other_city,cosine_similarity,jensen_shannon_distance
Istanbul,most_different,3,KualaLumpur,0.9136795059433895,0.1906205028005342
Istanbul,most_different,4,Singapore,0.9160842835945096,0.20347039595013333
Istanbul,most_different,5,Amsterdam,0.9192517408321955,0.17663638009160945
London,most_similar,1,Paris,0.9782609357784293,0.1015502325079214
London,most_similar,2,Vienna,0.9652401035829093,0.13674811898242883
London,most_similar,3,Amsterdam,0.9640494277640009,0.13520316407765112
London,most_similar,4,KualaLumpur,0.9595481212757347,0.15805602928561654
London,most_similar,5,Moscow,0.9567618414111634,0.1629618446968128
London,most_different,1,Dhaka,0.8848961402272022,0.23453669936374386
London,most_different,2,CapeTown,0.9120306954215749,0.1941943932280333
London,most_different,3,LosAngeles,0.912516231271523,0.20953296356640919
London,most_different,4,Lima,0.917845858061154,0.19163932138687836
London,most_different,5,Osaka,0.9192224003949295,0.2130544381807937
