sample_id,archetype_id,feature_type,rank,feature_id,value,count
S09,A01,edge,7,F029-F036,0.010989011265337467,4
S09,A01,edge,8,F007-F010,0.010989011265337467,4
S09,A01,edge,9,F057-F058,0.010989011265337467,4
S09,A01,edge,10,F029-F040,0.010989011265337467,4
S09,A01,activation,1,D489,2.806640625,0
S09,A01,activation,2,D269,2.486328125,13
S09,A01,activation,3,D250,2.375,8
S09,A01,activation,4,D249,2.328125,0
S09,A01,activation,5,D238,2.30859375,0
S09,A01,activation,6,D442,2.111328125,6
S09,A01,activation,7,D324,1.9365234375,0
S09,A01,activation,8,D327,1.82421875,0
S09,A01,activation,9,D501,1.8154296875,0
S09,A01,activation,10,D227,1.7607421875,0
S10,A02,node,1,F054,0.12244898080825806,24
S10,A02,node,2,F058,0.1071428582072258,21
S10,A02,node,3,F045,0.07653061300516129,15
S10,A02,node,4,F007,0.0714285746216774,14
S10,A02,node,5,F011,0.06632652878761292,13
S10,A02,node,6,F013,0.06122449040412903,12
S10,A02,node,7,F027,0.04591836780309677,9
S10,A02,node,8,F052,0.04591836780309677,9
S10,A02,node,9,F009,0.04591836780309677,9
S10,A02,node,10,F053,0.040816325694322586,8
S10,A02,edge,1,F036-F054,0.021978022530674934,8
S10,A02,edge,2,F011-F018,0.01923076994717121,7
S10,A02,edge,3,F007-F045,0.01923076994717121,7
S10,A02,edge,4,F022-F046,0.016483517363667488,6
S10,A02,edge,5,F053-F058,0.016483517363667488,6
S10,A02,edge,6,F011-F058,0.016483517363667488,6
S10,A02,edge,7,F053-F054,0.01373626384884119,5
S10,A02,edge,8,F027-F058,0.01373626384884119,5
S10,A02,edge,9,F042-F045,0.01373626384884119,5
S10,A02,edge,10,F007-F009,0.01373626384884119,5
S10,A02,activation,1,D182,2.77734375,9
S10,A02,activation,2,D327,2.572265625,3
S10,A02,activation,3,D370,2.40234375,0
S10,A02,activation,4,D438,2.3359375,6
S10,A02,activation,5,D402,2.234375,0
S10,A02,activation,6,D310,2.1875,1
S10,A02,activation,7,D181,2.166015625,15
S10,A02,activation,8,D317,1.908203125,2
S10,A02,activation,9,D439,1.9013671875,0
S10,A02,activation,10,D347,1.8896484375,0
