image_id,city,archetype_id,raw_cluster_id,distance_to_centroid,PC1,PC2
292976,SouthKorea/Seoul,A01,6,0.1612052,0.015602757,-0.025118466
292979,SouthKorea/Seoul,A03,7,0.20757623,-0.058891118,0.021233864
292990,SouthKorea/Seoul,A08,2,0.15677881,0.056423523,0.011074832
293000,SouthKorea/Seoul,A02,0,0.15859102,-0.0006480803,-0.066048846
293001,SouthKorea/Seoul,A07,4,0.16710173,0.028690936,0.10292873
293044,SouthKorea/Seoul,A03,7,0.17292014,-0.064721376,-0.010792078
293069,SouthKorea/Seoul,A01,6,0.15370347,-0.002976663,0.0028065315
293070,SouthKorea/Seoul,A01,6,0.16315041,-0.0701788,-0.0028420892
293102,SouthKorea/Seoul,A05,3,0.14385734,-0.13013087,0.057861947
293123,SouthKorea/Seoul,A02,0,0.17992352,-0.033566874,-0.05812305
293125,SouthKorea/Seoul,A08,2,0.14332925,0.060712874,0.015597296
293139,SouthKorea/Seoul,A02,0,0.16073683,-0.053035613,-0.04199628
293147,SouthKorea/Seoul,A02,0,0.18689217,-0.043398045,-0.104496345
293152,SouthKorea/Seoul,A02,0,0.17256534,-0.06318005,-0.053361367
293159,SouthKorea/Seoul,A05,3,0.21619244,-0.16457646,0.08799297
293181,SouthKorea/Seoul,A03,7,0.14517243,-0.06232714,-0.037446354
293185,SouthKorea/Seoul,A03,7,0.13741578,-0.05999647,-0.033973135
293187,SouthKorea/Seoul,A05,3,0.1183768,-0.06257964,0.016518839
293212,SouthKorea/Seoul,A04,1,0.16450708,0.07533299,-0.090552635
293215,SouthKorea/Seoul,A01,6,0.15467775,0.04831636,-0.014528344
293240,SouthKorea/Seoul,A01,6,0.15284526,0.030123051,-0.009335573
293254,SouthKorea/Seoul,A01,6,0.18923604,0.033929527,-0.027379699
293304,SouthKorea/Seoul,A05,3,0.19885908,-0.116757914,0.03432571
293312,SouthKorea/Seoul,A05,3,0.16694055,-0.032768603,-0.0065365434
293318,SouthKorea/Seoul,A06,5,0.18172884,-0.04631449,0.04545405
293319,SouthKorea/Seoul,A02,0,0.16220115,-0.0080002695,-0.06012146
293322,SouthKorea/Seoul,A03,7,0.14212164,-0.02329937,-0.016474867
293326,SouthKorea/Seoul,A04,1,0.1588505,0.042219553,-0.040945437
293329,SouthKorea/Seoul,A06,5,0.1294108,-0.033252727,0.009878471
293347,SouthKorea/Seoul,A05,3,0.12970693,-0.059337303,-0.027475258
293352,SouthKorea/Seoul,A04,1,0.14568093,0.06731682,0.00547342
293355,SouthKorea/Seoul,A06,5,0.13461836,0.022386206,0.03808148
293399,SouthKorea/Seoul,A03,7,0.17861348,-0.03782376,-0.033933923
