city_a,city_b,composition_similarity,cooccurrence_similarity,pattern
Dhaka,NewDelhi,0.9426378837488006,0.47905790638659385,high_both
Dhaka,Jakarta,0.9724854399521901,0.5048707621746025,high_both
Dhaka,Osaka,0.8900315482702627,0.2805845983979384,low_both
Dhaka,KualaLumpur,0.9320959790759451,0.3639252605218573,low_composition_high_cooccurrence
Dhaka,MexicoCity,0.8844394770356215,0.320278951266581,low_both
Dhaka,Amsterdam,0.9132247788885728,0.3697375145897135,low_composition_high_cooccurrence
Dhaka,Lagos,0.8806608052042081,0.2552470644993458,low_both
Dhaka,Lima,0.8726856033585704,0.27199976615420335,low_both
Dhaka,Manila,0.9548165539771865,0.4207964330768687,high_both
Dhaka,Moscow,0.9307265402143753,0.2547612944255351,low_both
Dhaka,Singapore,0.9243885028192627,0.23352725600576624,low_both
Dhaka,CapeTown,0.8423704027569113,0.27263549057377984,low_both
Dhaka,Johannesburg,0.8698972817541267,0.2905481913230412,low_both
Dhaka,Seoul,0.9210563572533947,0.3026284734458802,low_both
Dhaka,Taipei,0.9355454127548498,0.4192312468446144,low_composition_high_cooccurrence
Dhaka,Bangkok,0.9490318503976866,0.48470680703025437,high_both
Dhaka,Istanbul,0.8969024571400469,0.40268373549237024,low_composition_high_cooccurrence
Dhaka,London,0.8848961402272022,0.18486346537687195,low_both
Dhaka,LosAngeles,0.8343898617841806,0.15439628688763327,low_both
Dhaka,NewYorkCity,0.8941826306873196,0.16431054903872266,low_both
SaoPaulo,Toronto,0.9591431900537887,0.3871181049388175,high_both
SaoPaulo,HongKong,0.9471872113423242,0.37915541373236844,high_both
SaoPaulo,Bogota,0.9806156370601198,0.6559049932380888,high_both
SaoPaulo,Paris,0.9721148333954515,0.37748268856425465,high_both
SaoPaulo,Mumbai,0.9540143599392252,0.3402469473038875,high_composition_low_cooccurrence
SaoPaulo,NewDelhi,0.9449603844662451,0.4501012049777938,high_both
SaoPaulo,Jakarta,0.9408828621130869,0.4761280897089921,low_composition_high_cooccurrence
SaoPaulo,Osaka,0.931235733778777,0.4538819470501021,low_composition_high_cooccurrence
SaoPaulo,KualaLumpur,0.951988279370217,0.40208032543654915,high_both
SaoPaulo,MexicoCity,0.9887951047288788,0.652515447591998,high_both
SaoPaulo,Amsterdam,0.8960803644518368,0.3390040711139074,low_both
SaoPaulo,Lagos,0.9134505126083419,0.34707833785258935,low_both
SaoPaulo,Lima,0.9671550712673842,0.4671224082752988,high_both
SaoPaulo,Manila,0.9797758700780462,0.5621248545861127,high_both
SaoPaulo,Moscow,0.9518437943054032,0.35253056937810023,high_composition_low_cooccurrence
SaoPaulo,Singapore,0.9414362973507253,0.40890717725845704,low_composition_high_cooccurrence
SaoPaulo,CapeTown,0.9692640509668913,0.5194515318937017,high_both
SaoPaulo,Johannesburg,0.9652710229427385,0.40488694569559336,high_both
SaoPaulo,Seoul,0.9517674949375423,0.4925967777509696,high_both
SaoPaulo,Taipei,0.9586043528451301,0.505864332992323,high_both
SaoPaulo,Bangkok,0.9710358670196808,0.4099238662383625,high_both
SaoPaulo,Istanbul,0.9630354794729781,0.5477480317697252,high_both
SaoPaulo,London,0.9521140712305877,0.3439942037353315,high_composition_low_cooccurrence
SaoPaulo,LosAngeles,0.9570718217092272,0.4633023741000971,high_both
SaoPaulo,NewYorkCity,0.9545570988344634,0.44086749020634,high_both
Toronto,HongKong,0.9403110895775971,0.22776261991103086,low_both
Toronto,Bogota,0.9473081589414964,0.27459869279871274,high_composition_low_cooccurrence
Toronto,Paris,0.9625999228799748,0.3758807312111176,high_both
Toronto,Mumbai,0.9397910821143185,0.20459080380972466,low_both
Toronto,NewDelhi,0.9308432023156973,0.2247500009186575,low_both
Toronto,Jakarta,0.8959693338641417,0.1974301995567326,low_both
Toronto,Osaka,0.9238681299269738,0.3083027036042447,low_both
Toronto,KualaLumpur,0.9473632865374993,0.24577555000629747,high_composition_low_cooccurrence
Toronto,MexicoCity,0.9509889323337297,0.3238184893788127,high_composition_low_cooccurrence
Toronto,Amsterdam,0.9061549619561924,0.25661647423569595,low_both
Toronto,Lagos,0.8694512374275993,0.2122401350017037,low_both
Toronto,Lima,0.924017916374245,0.19944318935066643,low_both
Toronto,Manila,0.9388351376246379,0.2922295662167677,low_both
Toronto,Moscow,0.9646458503289116,0.3692926574180239,high_both
Toronto,Singapore,0.9467826284855939,0.3130565985255973,high_composition_low_cooccurrence
Toronto,CapeTown,0.9480818546311575,0.45368863320894803,high_both
Toronto,Johannesburg,0.9541786448245875,0.5023932279044997,high_both
Toronto,Seoul,0.9540026952810218,0.3412932593713829,high_composition_low_cooccurrence
Toronto,Taipei,0.961926922667202,0.28767564613437907,high_composition_low_cooccurrence
Toronto,Bangkok,0.9438744801609646,0.20303862994786975,high_composition_low_cooccurrence
Toronto,Istanbul,0.9391841472565751,0.3302580552937427,low_both
Toronto,London,0.9490765238895589,0.4152589544005304,high_both
Toronto,LosAngeles,0.9785503146345259,0.580082053170791,high_both
Toronto,NewYorkCity,0.987506082264707,0.6017734315991938,high_both
HongKong,Bogota,0.930800187345795,0.34141723105724714,low_both
HongKong,Paris,0.9634309430460153,0.3660749051762917,high_both
HongKong,Mumbai,0.9566360325902601,0.3887315257783247,high_both
HongKong,NewDelhi,0.9378027483379204,0.40014166150645486,low_composition_high_cooccurrence
HongKong,Jakarta,0.9145223722990429,0.3055286964019624,low_both
HongKong,Osaka,0.951131331357746,0.44370779741754984,high_both
HongKong,KualaLumpur,0.9343513994838847,0.42234201448229297,low_composition_high_cooccurrence
HongKong,MexicoCity,0.9337291120372085,0.33312081683317435,low_both
HongKong,Amsterdam,0.9162042006406034,0.36103301987755876,low_composition_high_cooccurrence
HongKong,Lagos,0.8835465981763858,0.2962733125157746,low_both
